Source,Business Name,Phone,Address,Email,Website
Google Maps,JW Industrial Park Bldg 4,N/A,"700 Cesanek Road, Northampton, PA 18067",N/A,N/A
Google Maps,JW Industrial Park Bldg 3,N/A,"651 Cesanek Rd, Northampton, PA 18067",N/A,N/A
Google Maps,Lehigh Valley Industrial Park,(610) 866-4600,"1720 Spillman Dr #150, Bethlehem, PA 18015",N/A,http://www.lvip.org/
Google Maps,Patriot American Park,(484) 375-1401,"1110 American Pkwy, Allentown, PA 18109",N/A,http://patriotamericanparkway.com/
Google Maps,Smith Brothers Industrial Park,(610) 258-1044,"900 Line St, Easton, PA 18042",N/A,http://smithbrothers.us/
Google Maps,Commerce Business Park,(212) 470-5200,"Cranford, NJ 07016",N/A,N/A
Google Maps,BURLE Corporate Park,(717) 295-6510,"1004 New Holland Ave, Lancaster, PA 17601",user@domain.com,http://www.burlepark.com/
Google Maps,Interchange Business Park,N/A,"Newark, DE 19711",N/A,N/A
Google Maps,Neshaminy Interplex,(215) 244-5150,"2 Interplex Dr, Feasterville-Trevose, PA 19053",user@domain.com,https://www.neshaminyinterplex.com/
Google Maps,740 Cesanek Road,N/A,"740 Cesanek Rd, Northampton, PA 18067",N/A,N/A
Google Maps,"BLUE RIDGE BUSINESS CENTER, LLC.",(610) 759-0320,"316 N Broadway, Wind Gap, PA 18091",N/A,https://blueridgebusinessctr.com/contact-us/
Google Maps,Bridgeworks Industrial Center,(610) 435-8890,"635 S 10th St, Allentown, PA 18103",user@domain.com,http://www.allentownedc.com/
